id_buku;isbn;title;penulis_full;tempat;penerbit;year;sinta_id;_sys_date_processed;category;nama_versi_kepegawaian;nama_versi_akademik;jenis_pegawai;jurusan;fakultas
38100;9786025874079;Teknologi Remediasi Lingkungan;Bieby Voijant Tangahu, Harmin Sulistyaning Titah, Sarwoko Mangkoedijardjo;Sleman;MOBIUS (Graha Ilmu);2018;5977574;2022-11-10 00:07:24;;Harmin Sulistiyaning Titah, S.T., M.T., Ph.D.;Harmin Sulistiyaning Titah, S.T., M.T., Ph.D.;Dosen;S2 Teknik Lingkungan;Fakultas Teknik Sipil, Perencanaan, dan Kebumian
1514;9786020917504;Praktik remediasi lingkungan;penulis, Harmin Sulistyaning, Bieby Fangujan Tangahu, Sarwoko Mangkoedihardjo;Surabaya;ITS Press;2016;5977574;2022-11-10 00:07:24;;Harmin Sulistiyaning Titah, S.T., M.T., Ph.D.;Harmin Sulistiyaning Titah, S.T., M.T., Ph.D.;Dosen;S2 Teknik Lingkungan;Fakultas Teknik Sipil, Perencanaan, dan Kebumian
140107;9781789844252;Chitin and Chitosan - Physicochemical Properties and Industrial Applications, Chapter 9:  Characterization of Chitosan Membrane Modified with Silane-Coupled Nanosilica for Polymer Electrolyte;ELLA KUSUMASTUTI, FADILA MAULIANI, F. WIDHI MAHATMANTI, JUMAERI, Drs. Lukman Atmaja, M.Si., Ph.D., Prof. Nurul Widiastuti, S.Si., M.Si., Ph.D.;London, UK;IntechOpen;2021;5977625;2022-11-10 00:07:24;buku referensi;Prof. Nurul Widiastuti, S.Si., M.Si., Ph.D.;Prof. Nurul Widiastuti, S.Si., M.Si., Ph.D.;Dosen;Kimia;Fakultas Sains dan Analitika Data
140166;9780128167106;Nanocomposite Membranes for Water and Gas Separation. Chapter 14 Prospects of nanocomposite membranes for natural gas treatment;A.K.ZULHAIRUN,RIKA WIJIYANTI, Prof. Nurul Widiastuti, S.Si., M.Si., Ph.D., PEI SEAN GOH, AHMAD FAUZI ISMAIL;US;Elsevier;2020;5977625;2022-11-10 00:07:24;buku monograf;Prof. Nurul Widiastuti, S.Si., M.Si., Ph.D.;Prof. Nurul Widiastuti, S.Si., M.Si., Ph.D.;Dosen;Kimia;Fakultas Sains dan Analitika Data
38569;9786025022128;KIMIA 1;Taslim Ersam...[et al.];Surabaya;Media Bersaudara, CV;2018;5977625;2022-11-10 00:07:24;buku ajar;Prof. Nurul Widiastuti, S.Si., M.Si., Ph.D.;Prof. Nurul Widiastuti, S.Si., M.Si., Ph.D.;Dosen;Kimia;Fakultas Sains dan Analitika Data
96540;9709798897962;Pendidikan Karakter CAK++ ITS. Pembinaan Kreativitas Mahasiswa untuk Penguatan Budaya Akademik. Praktik Terbaik;Ir. Syamsul Arifin, MT., Prof. Dr. Mardi Santoso,Dr. Ir. Bambang Sampurno, M.T., Prof.Dr.Ir. Adi Soeprijanto, M.T., Prof. Iwan Vanany, S.T., M.T., Ph.D., Dr. Darmaji, S.Si., M.T., Ir. Hasan Ikhwani, M.Sc., Drs. Zainul Muhibbin, M.Fil.I, Prof. Nurul;Surabaya;ITS Press;2011;5977625;2022-11-10 00:07:24;lainnya;Prof. Nurul Widiastuti, S.Si., M.Si., Ph.D.;Prof. Nurul Widiastuti, S.Si., M.Si., Ph.D.;Dosen;Kimia;Fakultas Sains dan Analitika Data
96537;9789798897764;Model pendidikan karakter CAK di ITS. Menuju kemuliaan hidup bermartabat (strategi & implementasi);Ir. Syamsul Arifin, MT., Drs. Edy Subali, M.Pd., Dra. Lucia Aridinanti, M.T., Prof. Dr. Mardi Santoso, Dr. Ir. Hasan Ikhwani, M.Sc., Dr. Soedarso, S.S., M.Hum., Drs. Zainul Muhibbin, M.Fil.I, Prof. Nurul Widiastuti, S.Si., M.Si., Ph.D., Dr. Suyanto,;Surabaya;ITS Press;2010;5977625;2022-11-10 00:07:24;lainnya;Prof. Nurul Widiastuti, S.Si., M.Si., Ph.D.;Prof. Nurul Widiastuti, S.Si., M.Si., Ph.D.;Dosen;Kimia;Fakultas Sains dan Analitika Data
140634;9789792915617;Ekonometrika;Setiawan dan Dwi Endah Kusrini;Surabaya;Yogyakarta : Andi, 2010.;2010;5977629;2022-11-10 00:07:24;buku ajar;Dr. Ir. Setiawan, M.S.;Dr. Ir. Setiawan, M.S.;Dosen;Statistika;Fakultas Sains dan Analitika Data
143612;9786233180726;Desain bisnis herbal untuk pengembangan teaching industry : antara industri badan usaha milik desa (BUMDesa) dan perguruan tinggi dalam mendukung kampus merdeka belajar merdeka (KMBM);"Adillatul Lathiifatun Jannah ... [et al.] ; editor, Choirul Mahfud";Surabaya;ITS Press;2021;5977661;2022-11-10 00:07:24;buku referensi;Dr. Nurul Jadid, S.Si., M.Sc.;Dr. Nurul Jadid, S.Si., M.Sc.;Dosen;Biologi;Fakultas Sains dan Analitika Data
96533;9786233180023;Pendampingan masyarakat mewujudkan produk yang Halalan Thayyiban;editor,  Nur Aini Rakhmawati, Setyo Gunawan;Surabaya;ITS Press;2020;5977661;2022-11-10 00:07:24;lainnya;Dr. Nurul Jadid, S.Si., M.Sc.;Dr. Nurul Jadid, S.Si., M.Sc.;Dosen;Biologi;Fakultas Sains dan Analitika Data
143617;9786027256323;Karya Institut teknologi Sepuluh Nopemeber 2013-2014 : dalam mendukung Inisiasi Pengembangan Sistem Inovasi Daerah (SIDa) di Provinsi Jawa Timur;"penyusun, Niniek Fajar Puspita ; editor, Soeprijanto";Surabaya;Lembaga Penelitian dan Pengabdian kepada Masyaraka;2015;5977661;2022-11-10 00:07:24;buku referensi;Dr. Nurul Jadid, S.Si., M.Sc.;Dr. Nurul Jadid, S.Si., M.Sc.;Dosen;Biologi;Fakultas Sains dan Analitika Data
54956;9781259585173;"Chapter in Book: Standard Handbook for Aerospace Engineers, Second Edition, Dr. Brij N. Agrawal; Dr. Max F. Platzer. Chapter Computational Optimal Control";Rafal Zbikowski and Subchan;New York, Chicago, San Francisco, Athens, London,;McGraw-Hill Education;2018;5977746;2022-11-10 00:07:24;;Prof. Subchan, S.Si., M.Sc., Ph.D.;Prof. Subchan, S.Si., M.Sc., Ph.D.;Dosen;Matematika;Fakultas Sains dan Analitika Data
33182;470714409;Computational Optimal Control: Tools and Practice;Subchan, Rafal Zbikowski;Chichester, West Sussex, United Kingdom;Wiley;2009;5977746;2022-11-10 00:07:24;;Prof. Subchan, S.Si., M.Sc., Ph.D.;Prof. Subchan, S.Si., M.Sc., Ph.D.;Dosen;Matematika;Fakultas Sains dan Analitika Data
84860;9786239679033;Bahan bakar b-30 untuk kapal pelayaran rakyat di Indonesia;"Hadi Prasutiyon, Semin ; editor, Dedek Wibowo";Surabaya (Kota);CV. Mitra Mandiri Persada;2021;5978472;2022-11-10 00:07:24;buku referensi;Prof. Semin, S.T., M.T., Ph.D.;Prof. Semin, S.T., M.T., Ph.D.;Dosen;Teknik Sistem Perkapalan;Fakultas Teknologi Kelautan
109394;9786230119576;Pengantar sistem penggerak kapal [sumber elektronis];"oleh Hadi Prasutiyon, Semin ; editor, Edi S. Mulyanta";Yogyakarta;Penerbit Andi;2021;5978472;2022-11-10 00:07:24;buku ajar;Prof. Semin, S.T., M.T., Ph.D.;Prof. Semin, S.T., M.T., Ph.D.;Dosen;Teknik Sistem Perkapalan;Fakultas Teknologi Kelautan
85947;97862396341557;BAHAN BAKAR GAS;Semin;Yogyakarta;BUGINESE ART;2021;5978472;2022-11-10 00:07:24;;Prof. Semin, S.T., M.T., Ph.D.;Prof. Semin, S.T., M.T., Ph.D.;Dosen;Teknik Sistem Perkapalan;Fakultas Teknologi Kelautan
84861;9786236293645;Bahan Bakar Kapal;Hadi Prasutiyon, S.T., M.T.;Pekalongan;PENERBIT NEM;2021;5978472;2022-11-10 00:07:24;buku referensi;Prof. Semin, S.T., M.T., Ph.D.;Prof. Semin, S.T., M.T., Ph.D.;Dosen;Teknik Sistem Perkapalan;Fakultas Teknologi Kelautan
74487;9786024736460;Metode praktis di dalam merancang sistem dan permesinan di kapal [sumber elektronis];Agoes Santoso, Muhammad Badrus Zaman, Semin;Surabaya;Airlangga University Press;2020;5978472;2022-11-10 00:07:24;;Prof. Semin, S.T., M.T., Ph.D.;Prof. Semin, S.T., M.T., Ph.D.;Dosen;Teknik Sistem Perkapalan;Fakultas Teknologi Kelautan
44363;9786024730949;Permesinan bantu pada kapal modern volume 1 : permesinan geladak;Agoes Santoso, Semin, Muhammad Badrus Zaman;Surabaya;Airlangga University Press;2019;5978472;2022-11-10 00:07:24;;Prof. Semin, S.T., M.T., Ph.D.;Prof. Semin, S.T., M.T., Ph.D.;Dosen;Teknik Sistem Perkapalan;Fakultas Teknologi Kelautan
44074;9766027248762;Armada Maritim;Semin;Surakarta;Madina Publika;2017;5978472;2022-11-10 00:07:24;;Prof. Semin, S.T., M.T., Ph.D.;Prof. Semin, S.T., M.T., Ph.D.;Dosen;Teknik Sistem Perkapalan;Fakultas Teknologi Kelautan
22307;9786020917511;Metode elemen hingga dengan penerapan analisa temperatur pada beton bertulang;Endah Wahyuni, Wahyuniarsih Sutrisno;Surabaya;ITS Press;2016;5978999;2022-11-10 00:07:24;;Endah Wahyuni, S.T., M.Sc., Ph.D.;Endah Wahyuni, S.T., M.Sc., Ph.D.;Dosen;Teknik Sipil;Fakultas Teknik Sipil, Perencanaan, dan Kebumian
22310;9783639358810;Static Stiffness and Modal Stiffness of Structures;Endah Wahyuni;Saarbrucken, Germany;VDM Verlag Dr Muller GmbH & Co. KG;2011;5978999;2022-11-10 00:07:24;;Endah Wahyuni, S.T., M.Sc., Ph.D.;Endah Wahyuni, S.T., M.Sc., Ph.D.;Dosen;Teknik Sipil;Fakultas Teknik Sipil, Perencanaan, dan Kebumian
70310;9786230108952;Bayesian neural network dalam pemodelan small area estimation [sumber elektronis];"Nur Iriawan ... [et al.] ; editor, Adit Christian";;Penerbit Andi;2020;5980047;2022-11-10 00:07:24;;Prof. Drs. Nur Iriawan, M.IKom., Ph.D.;Prof. Drs. Nur Iriawan, M.IKom., Ph.D.;Dosen;Statistika;Fakultas Sains dan Analitika Data
70309;9786029494471;Pemodelan dan analisis ata-driven;Nur Iriawan;Surabaya;ITS Press;2012;5980047;2022-11-10 00:07:24;;Prof. Drs. Nur Iriawan, M.IKom., Ph.D.;Prof. Drs. Nur Iriawan, M.IKom., Ph.D.;Dosen;Statistika;Fakultas Sains dan Analitika Data
70311;9789797631116;Mengolah Data Statistik Dengan Mudah Menggunakan Minitab 14;NUR Iriawa, Septin Puji Astuti;Jogyakarta;Penerbit Andi;2006;5980047;2022-11-10 00:07:24;;Prof. Drs. Nur Iriawan, M.IKom., Ph.D.;Prof. Drs. Nur Iriawan, M.IKom., Ph.D.;Dosen;Statistika;Fakultas Sains dan Analitika Data
